Primary Source,Type,Grounds (claim / SPOV),Reachable via,Compiled into (artifacts),Knowledge Tree Category
"ACT, Inc., Description of ACT Writing Test",Authority,"ACT Writing 40-minute prompt (three perspectives); 4 analytic domains (Ideas and Analysis, Development and Support, Organization, Language Use and Conventions), each scored 1-6 by two raters, reported 2-12",https://www.act.org/content/act/en/products-and-services/the-act/test-preparation/description-of-writing-test.html,"03_state_assessment_format_map.md, 04_item_formats_and_rubrics.md",Category 2: Exam Ground Truth
"Smarter Balanced Assessment Consortium, Performance Task Writing Rubrics",Authority,"SBAC G11 full-write rubric (Org/Purpose 1-4, Evidence/Elaboration 1-4, Conventions 0-2); argument and explanatory modes (no narrative G11)",https://portal.smarterbalanced.org/library/en/performance-task-writing-rubric-argumentative.pdf,"03_state_assessment_format_map.md, 04_item_formats_and_rubrics.md",Category 2: Exam Ground Truth
"New York State Education Department (NYSED), Regents Examination in ELA",Authority,"NY Regents G11 two-essay format (source-based Argument 6-point, Text-Analysis Exposition 4-point); no discrete grammar section",https://www.nysedregents.org/hsela/,"03_state_assessment_format_map.md, 04_item_formats_and_rubrics.md, G10_anchor_forms.md",Category 2: Exam Ground Truth
"Massachusetts Department of Elementary and Secondary Education, MCAS Grade 10 Test Design",Authority,MCAS G10 text-based essay (8-point rubric),https://www.doe.mass.edu/mcas/tdd/testdesign/g10-ela.docx,"03_state_assessment_format_map.md, G10_anchor_forms.md",Category 2: Exam Ground Truth
"Florida Department of Education, B.E.S.T. Writing Argumentation Rubric",Authority,FL B.E.S.T. G7-10 argumentation rubric; gating rule (no citation caps Development at 2/4),https://www.fldoe.org/file/20102/7-10BESTWritingArgumentationRubric.pdf,"04_item_formats_and_rubrics.md, TestDesign_Reference.md",Category 2: Exam Ground Truth
"Judith Hochman & Natalie Wexler, The Writing Revolution (TWR)",Expert,"Sentence-level moves (because/but/so, appositives, subordinate clauses); explicit teaching of syntactic choices; kernel-expansion pedagogy","*The Writing Revolution* (Hochman & Wexler, 2017); thewritingrevolution.org; Natalie Wexler on X (@natwexler) and *The Knowledge Gap*.","syntactic-moves-crosswalk.md, icm/stages/01-move-crosswalks/output/moves-claim.md",Category 3: Move Decomposition
"Gerald Graff & Cathy Birkenstein, They Say / I Say (TSIS)",Expert,"Meta-commentary templates (""They say X, I say Y""); framing, conceding, responding moves; counterargument moves","*They Say / I Say* (Graff & Birkenstein, 5th ed.); wwnorton.com.","syntactic-moves-crosswalk.md, KC_Map_and_Unit_Arch_G9-12.md",Category 3: Move Decomposition
Debra Myhill,Expert,Grammar-as-choice paradigm (stylistic manipulation of sentence structure); Exeter research on contextualized grammar instruction,*Essential Primary Grammar* (Myhill); Exeter grammar-as-choice research; Google Scholar: Debra Myhill.,"syntactic-moves-crosswalk.md, KC_Map_and_Unit_Arch_G9-12.md",Category 3: Move Decomposition
Jeff Anderson,Expert,"Mentor-text analysis (noticing author's choices); sentence imitation and manipulation; ""What do you notice?"" inquiry approach","*Mechanically Inclined*, *Everyday Editing* (Anderson); Jeff Anderson on X (@writeguyjeff).","syntactic-moves-crosswalk.md, icm/stages/01-move-crosswalks/output/moves-revision.md",Category 3: Move Decomposition
"Siegfried Engelmann, Theory of Instruction (Direct Instruction)",Expert,"Discrimination-before-production pedagogy; minimal-pair contrasts; explicit sequence design. **(Grade-C / design bet, unvalidated for writing)** The discrimination-before-production principle is grounded in Engelmann's work on concept acquisition, but its application to essay-level compositional moves in this course is a design bet, not validated by direct empirical evidence in writing pedagogy.",*Theory of Instruction* (Engelmann & Carnine); National Institute for Direct Instruction (nifdi.org).,"pipeline/lesson_contract.py, LESSON_ARCHETYPES.html",Category 4: Lesson Contract
"Barak Rosenshine, Principles of Instruction",Expert,Check for understanding (CFU) after each small step; guided practice before independent practice; systematic review,"""Principles of Instruction"" (Rosenshine, 2012, *American Educator*).","pipeline/lesson_contract.py, LESSON_ARCHETYPES.html",Category 4: Lesson Contract
"Paul Kirschner, Carl Hendrick & Jim Heal, How Learning Happens",Expert,"Cognitive load theory (novices need worked examples, not open-ended discovery); split-attention effect; expertise reversal effect (d=-0.43)","*How Learning Happens* (Kirschner, Hendrick & Heal, 2020); Kirschner on X (@P_A_Kirschner).","pipeline/lesson_contract.py, LESSON_ARCHETYPES.html",Category 4: Lesson Contract
"Steve Graham & Karen Harris, Self-Regulated Strategy Development (SRSD)",Expert,"SRSD lesson shell (Develop Background Knowledge, Discuss, Model, Memorize, Support, Independent Practice); mnemonic strategy instruction; explicit teaching of planning and revision strategies","srsdonline.org; Graham & Perin, ""Writing Next"" (2007); *Powerful Writing Strategies for All Students* (Harris, Graham, Mason & Friedlander, 2008); Google Scholar: Steve Graham (100,000+ citations).","pipeline/lesson_contract.py, LESSON_ARCHETYPES.html, Lesson_Bank_G9/lesson_g9_l01_arguable_claim_v3_1.py",Category 4: Lesson Contract
"Paul Kirschner, Carl Hendrick & Jim Heal, How Learning Happens",Expert,"Expertise reversal effect (scaffolding helps novices, d=+0.43; hurts experts, d=-0.43); fading protocol (withdraw worked examples as competence grows)","*How Learning Happens* (Kirschner, Hendrick & Heal, 2020); Kirschner on X (@P_A_Kirschner).","SPINE_DELIBERATION_verdict.md, SPINE_DELIBERATION_positions.md, Revision_Loop_Architecture.md","Category 5: Fading, Transfer, and Calibration"
Barry Zimmerman,Expert,"Self-regulated learning (SRL) progression (observation, emulation, self-control, self-regulation); metacognitive monitoring; gradual independence","Google Scholar: Barry Zimmerman (60,000+ citations); *Handbook of Self-Regulation of Learning and Performance* (Routledge, 2011).","SPINE_DELIBERATION_verdict.md, Revision_Loop_Architecture.md","Category 5: Fading, Transfer, and Calibration"
Dylan Wiliam & John Hattie,Expert,Formative assessment and self-assessment calibration; rubric internalization; feedback loops,"*Embedded Formative Assessment* (Wiliam); *Visible Learning* (Hattie, 2009); Wiliam on X (@dylanwiliam).","Revision_Loop_Architecture.md, SPINE_DELIBERATION_verdict.md","Category 5: Fading, Transfer, and Calibration"
"Steve Graham & Karen Harris, SRSD",Expert,SRSD fading sequence (Develop → Discuss → Model → Memorize → Support → Independent); gradual release of responsibility; transfer tasks,"srsdonline.org; Graham & Perin, ""Writing Next"" (2007); *Powerful Writing Strategies for All Students* (Harris, Graham, Mason & Friedlander, 2008); Google Scholar: Steve Graham (100,000+ citations).","pipeline/lesson_contract.py, SPINE_DELIBERATION_verdict.md","Category 5: Fading, Transfer, and Calibration"
David Yeager,Expert,Adolescent motivation and growth mindset; self-transcendent purpose; mastery vs. performance goals; developmental context for G9-12 learners,"*10 to 25* (Yeager, 2024); Yeager on X (@dyeager1); Google Scholar: David Yeager.","SPINE_DELIBERATION_positions.md, Revision_Loop_Architecture.md","Category 5: Fading, Transfer, and Calibration"
Pietro Boscolo & Suzanne Hidi,Expert,Writing motivation and interest; task value and self-efficacy; engagement in composition tasks,"Hidi & Boscolo, ""Motivation and writing"" (in *Handbook of Writing Research*); Boscolo & Hidi, *Writing and Motivation* (2007).","SPINE_DELIBERATION_positions.md, COURSE_FIX_PLAN_synthesis.md","Category 5: Fading, Transfer, and Calibration"
"George Hillocks, Research on Written Composition",Expert,Grammar-in-isolation has near-zero effect on writing quality (d=-0.29 in 1986 meta-analysis); contextualized grammar instruction within real composition is effective,"*Research on Written Composition* (Hillocks, 1986); ""The Testing Trap"" (2002).","KC_Map_and_Unit_Arch_G9-12.md, External_App_Scope.md",Category 6: Scope and Ownership
Debra Myhill,Expert,"Grammar-as-choice paradigm (stylistic manipulation, not error-correction drills); Exeter research showing gains when grammar is taught as rhetorical resource in composition",*Essential Primary Grammar* (Myhill); Exeter grammar-as-choice research; Google Scholar: Debra Myhill.,"KC_Map_and_Unit_Arch_G9-12.md, syntactic-moves-crosswalk.md",Category 6: Scope and Ownership
"Common Core State Standards (CCSS), Language Standards L.9-10.1-2 and L.11-12.1-2",Authority,"Conventions standards (capitalization, punctuation, spelling, grammar, usage) across G9-12 band; scope and progression for CCSS-aligned states",https://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf,"01_ccss_adherence_map.md, KC_Map_and_Unit_Arch_G9-12.md",Category 6: Scope and Ownership
"Texas TEKS, Conventions Standards",Authority,"TEKS conventions scope (punctuation, capitalization, spelling, grammar) for English I/II; state-specific progression",https://tea.texas.gov/about-tea/laws-and-rules/texas-administrative-code/19-tac-chapter-110,"01_ccss_adherence_map.md, KC_Map_and_Unit_Arch_G9-12.md",Category 6: Scope and Ownership
"Deborah McCutchen, ""A capacity theory of writing: Working memory in composition""",Expert,"Writing capacity theory (transcription, text generation, executive processes compete for limited working memory); novices struggle with simultaneous demands; supports chunking and fading","McCutchen, ""A capacity theory of writing: Working memory in composition"" (*Educational Psychology Review*, 1996); Google Scholar: Deborah McCutchen.","icm/CONTEXT.md, Revision_Loop_Architecture.md",Category 7: Progression and Architecture
John Hayes & Linda Flower,Expert,"Cognitive process model of writing (planning, translating, reviewing); recursive processes; expert-novice differences (experts plan more, revise more globally)","Hayes & Flower, ""A Cognitive Process Theory of Writing"" (1981); Hayes, ""A new framework for understanding cognition and affect in writing"" (1996).","icm/CONTEXT.md, KC_Map_and_Unit_Arch_G9-12.md",Category 7: Progression and Architecture
"Grant Wiggins & Jay McTighe, Understanding by Design (UbD)",Expert,"Backward design (start with end-of-course assessment, design transfer tasks first, then build prerequisite skills); transfer as the goal","*Understanding by Design* (Wiggins & McTighe, 2005); ASCD.","SCOPE_SEQUENCE.html, KC_Map_and_Unit_Arch_G9-12.md",Category 7: Progression and Architecture
"Texas Education Agency (TEA), STAAR Blueprint (G9 English I, G10 English II)",Authority,"Grade-to-exam map (G9 → STAAR English I, G10 → STAAR English II); ECR+SCR format anchors course endpoints",https://tea.texas.gov/data-reports/staar/staar-english-ii-blueprint-schematic.pdf,"03_state_assessment_format_map.md, SCOPE_SEQUENCE.html",Category 7: Progression and Architecture
"College Board, AP English Language Exam Structure",Authority,"G11 → AP Lang (Synthesis, Rhetorical Analysis, Argument FRQs); 6-point analytic rubric anchors G11 endpoint",https://apcentral.collegeboard.org/media/pdf/ap-english-language-and-composition-frqs-1-2-3-scoring-rubrics.pdf,"03_state_assessment_format_map.md, 04_item_formats_and_rubrics.md",Category 7: Progression and Architecture
Peter Elbow & Kelly Gallagher,Expert,Process writing and authentic writing tasks; low-stakes writing; writing without teachers; writer's workshop; student choice and engagement,*Writing Without Teachers* (Elbow); *Write Like This* (Gallagher); Gallagher on X (@KellyGToGo).,"LESSON_DESIGN_PLAN.md, icm/CONTEXT.md",Category 7: Progression and Architecture
Claim,Authority,URL,Recovery type,Note,Category 7: Progression and Architecture
